incident_id,date,year,month,day,country,region,city,attack_type,target_type,perpetrator_group,killed,wounded,total_casualties,attack_success,property_damage,notes
PAK-00016,1953-03-06,1953,3,6,Pakistan,Balochistan,Turbat,IED,Paramilitary,Indian Forces,18,49,67,Yes,Major,"IED targeting paramilitary in Turbat, Balochistan."
PAK-00015,1953-06-07,1953,6,7,Pakistan,Balochistan,Quetta,Mortar Attack,Paramilitary,Indian Forces,1,5,6,Yes,Minor,"Mortar Attack targeting paramilitary in Quetta, Balochistan."
PAK-00017,1953-12-20,1953,12,20,Pakistan,Balochistan,Khuzdar,Ambush,Judges/Lawyers,Afghan Tribals,18,48,66,Yes,Moderate,"Ambush targeting judges/lawyers in Khuzdar, Balochistan."
PAK-00020,1954-10-20,1954,10,20,Pakistan,Balochistan,Gwadar,Ambush,Paramilitary,Afghan Tribals,18,8,26,Yes,Minor,"Ambush targeting paramilitary in Gwadar, Balochistan."
PAK-00022,1955-04-08,1955,4,8,Pakistan,Punjab,Lahore,Ethnic Violence,Infrastructure,Indian Forces,16,12,28,Yes,Minor,"Ethnic Violence targeting infrastructure in Lahore, Punjab."
PAK-00024,1955-04-20,1955,4,20,Pakistan,Punjab,Rawalpindi,Militant Attack,Political Party,Sectarian Groups,33,61,94,No,None,"Militant Attack targeting political party in Rawalpindi, Punjab."
PAK-00021,1955-07-30,1955,7,30,Pakistan,Khyber Pakhtunkhwa,Dera Ismail Khan,Armed Assault,Civilians,Sectarian Groups,12,27,39,Yes,None,"Armed Assault targeting civilians in Dera Ismail Khan, Khyber Pakhtunkhwa."
PAK-00023,1955-10-09,1955,10,9,Pakistan,Khyber Pakhtunkhwa,Swat,Ambush,Ethnic Group,Afghan Tribals,3,7,10,Yes,Unknown,"Ambush targeting ethnic group in Swat, Khyber Pakhtunkhwa."
PAK-00026,1956-10-04,1956,10,4,Pakistan,Khyber Pakhtunkhwa,Swat,Sectarian Violence,Hospital,Afghan Tribals,5,18,23,Yes,Moderate,"Sectarian Violence targeting hospital in Swat, Khyber Pakhtunkhwa."
PAK-00025,1956-12-22,1956,12,22,Pakistan,Khyber Pakhtunkhwa,Peshawar,Ethnic Violence,School,Sectarian Groups,19,27,46,No,Unknown,"Ethnic Violence targeting school in Peshawar, Khyber Pakhtunkhwa."
PAK-00027,1957-02-05,1957,2,5,Pakistan,Punjab,Sargodha,Kidnapping,Police,Unknown,0,1,1,Yes,Minor,"Kidnapping targeting police in Sargodha, Punjab."
PAK-00030,1958-05-16,1958,5,16,Pakistan,Punjab,Sargodha,Armed Assault,Government Officials,Unknown,7,16,23,Yes,Moderate,"Armed Assault targeting government officials in Sargodha, Punjab."
PAK-00029,1958-08-23,1958,8,23,Pakistan,Azad Kashmir,Rawalakot,Militant Attack,School,Sectarian Groups,10,19,29,Yes,None,"Militant Attack targeting school in Rawalakot, Azad Kashmir."
PAK-00028,1958-09-25,1958,9,25,Pakistan,Punjab,Multan,Suicide Bombing,Government Officials,Sectarian Groups,79,144,223,Yes,Moderate,"Suicide Bombing targeting government officials in Multan, Punjab."
PAK-00031,1958-10-06,1958,10,6,Pakistan,Punjab,Multan,Grenade Attack,Hospital,Afghan Tribals,7,26,33,Yes,Unknown,"Grenade Attack targeting hospital in Multan, Punjab."
PAK-00035,1959-03-18,1959,3,18,Pakistan,Khyber Pakhtunkhwa,Charsadda,Political Violence,Military/Security Forces,Indian Forces,2,11,13,Yes,Moderate,"Political Violence targeting military/security forces in Charsadda, Khyber Pakhtunkhwa."
PAK-00033,1959-05-09,1959,5,9,Pakistan,Balochistan,Gwadar,Mortar Attack,Mosque/Shrine,Communist Insurgents,8,15,23,No,None,"Mortar Attack targeting mosque/shrine in Gwadar, Balochistan."
PAK-00036,1959-07-06,1959,7,6,Pakistan,Balochistan,Dera Bugti,Assassination,Judges/Lawyers,Afghan Tribals,1,4,5,No,None,"Assassination targeting judges/lawyers in Dera Bugti, Balochistan."
PAK-00032,1959-10-11,1959,10,11,Pakistan,Punjab,Gujranwala,Armed Assault,Religious Minority,Communist Insurgents,4,3,7,Yes,Moderate,"Armed Assault targeting religious minority in Gujranwala, Punjab."
PAK-00034,1959-11-23,1959,11,23,Pakistan,Punjab,Jhang,Ambush,Police,Indian Forces,11,8,19,No,Minor,"Ambush targeting police in Jhang, Punjab."
PAK-00037,1960-03-20,1960,3,20,Pakistan,Azad Kashmir,Mirpur,Armed Assault,Foreign Nationals,Unknown,14,39,53,No,Minor,"Armed Assault targeting foreign nationals in Mirpur, Azad Kashmir."
PAK-00039,1960-04-12,1960,4,12,Pakistan,Sindh,Hyderabad,Armed Assault,Journalists,Indian Forces,16,14,30,Yes,Major,"Armed Assault targeting journalists in Hyderabad, Sindh."
PAK-00038,1960-07-29,1960,7,29,Pakistan,Azad Kashmir,Mirpur,Political Violence,Military/Security Forces,Afghan Tribals,12,21,33,Yes,Minor,"Political Violence targeting military/security forces in Mirpur, Azad Kashmir."
PAK-00041,1961-05-14,1961,5,14,Pakistan,Sindh,Nawabshah,Ethnic Violence,Infrastructure,Indian Forces,8,28,36,Yes,Moderate,"Ethnic Violence targeting infrastructure in Nawabshah, Sindh."
PAK-00040,1961-05-23,1961,5,23,Pakistan,Sindh,Hyderabad,Militant Attack,Military/Security Forces,Afghan Tribals,27,42,69,No,Moderate,"Militant Attack targeting military/security forces in Hyderabad, Sindh."
PAK-00042,1961-09-19,1961,9,19,Pakistan,Punjab,Rawalpindi,Political Violence,Foreign Nationals,Communist Insurgents,7,19,26,Yes,Unknown,"Political Violence targeting foreign nationals in Rawalpindi, Punjab."
PAK-00044,1962-06-03,1962,6,3,Pakistan,Sindh,Larkana,IED,Infrastructure,Unknown,11,7,18,Yes,Major,"IED targeting infrastructure in Larkana, Sindh."
PAK-00043,1962-12-18,1962,12,18,Pakistan,Sindh,Karachi,Political Violence,Military/Security Forces,Unknown,15,34,49,Yes,Minor,"Political Violence targeting military/security forces in Karachi, Sindh."
PAK-00047,1963-05-26,1963,5,26,Pakistan,Khyber Pakhtunkhwa,Nowshera,Sectarian Violence,Paramilitary,Afghan Tribals,44,21,65,Yes,Unknown,"Sectarian Violence targeting paramilitary in Nowshera, Khyber Pakhtunkhwa."
PAK-00046,1963-11-07,1963,11,7,Pakistan,Balochistan,Quetta,Rocket Attack,Hospital,Afghan Tribals,6,18,24,Yes,Major,"Rocket Attack targeting hospital in Quetta, Balochistan."
PAK-00045,1963-11-12,1963,11,12,Pakistan,Khyber Pakhtunkhwa,Kohat,Assassination,Mosque/Shrine,Sectarian Groups,4,5,9,Yes,Major,"Assassination targeting mosque/shrine in Kohat, Khyber Pakhtunkhwa."
PAK-00048,1964-01-24,1964,1,24,Pakistan,Punjab,Multan,Rocket Attack,Market/Bazaar,Afghan Tribals,2,0,2,Yes,Major,"Rocket Attack targeting market/bazaar in Multan, Punjab."
PAK-00049,1964-12-22,1964,12,22,Pakistan,Balochistan,Turbat,Drone Strike,Judges/Lawyers,Unknown,7,22,29,Yes,Major,"Drone Strike targeting judges/lawyers in Turbat, Balochistan."
PAK-00050,1964-12-22,1964,12,22,Pakistan,Azad Kashmir,Mirpur,Bombing,Civilians,Sectarian Groups,8,5,13,Yes,None,"Bombing targeting civilians in Mirpur, Azad Kashmir."
PAK-00055,1965-02-01,1965,2,1,Pakistan,Punjab,Jhang,Political Violence,Infrastructure,Unknown,8,13,21,Yes,Major,"Political Violence targeting infrastructure in Jhang, Punjab."
PAK-00053,1965-05-27,1965,5,27,Pakistan,Sindh,Mirpur Khas,Military Operation,Market/Bazaar,Communist Insurgents,31,9,40,Yes,Moderate,"Military Operation targeting market/bazaar in Mirpur Khas, Sindh."
PAK-00052,1965-08-19,1965,8,19,Pakistan,Balochistan,Dera Bugti,Political Violence,Ethnic Group,Afghan Tribals,12,30,42,Yes,Minor,"Political Violence targeting ethnic group in Dera Bugti, Balochistan."
PAK-00051,1965-10-14,1965,10,14,Pakistan,Azad Kashmir,Muzaffarabad,Drone Strike,Religious Minority,Sectarian Groups,22,67,89,Yes,Major,"Drone Strike targeting religious minority in Muzaffarabad, Azad Kashmir."
PAK-00054,1965-12-22,1965,12,22,Pakistan,Sindh,Mirpur Khas,IED,Religious Minority,Afghan Tribals,8,12,20,Yes,Minor,"IED targeting religious minority in Mirpur Khas, Sindh."
PAK-00059,1966-07-14,1966,7,14,Pakistan,Punjab,Jhang,Assassination,Ethnic Group,Afghan Tribals,1,4,5,Yes,Major,"Assassination targeting ethnic group in Jhang, Punjab."
PAK-00056,1966-07-19,1966,7,19,Pakistan,Balochistan,Quetta,Ethnic Violence,Paramilitary,Indian Forces,23,38,61,No,Major,"Ethnic Violence targeting paramilitary in Quetta, Balochistan."
PAK-00058,1966-07-21,1966,7,21,Pakistan,Khyber Pakhtunkhwa,Swat,Drone Strike,Religious Minority,Unknown,18,1,19,Yes,None,"Drone Strike targeting religious minority in Swat, Khyber Pakhtunkhwa."
PAK-00057,1966-09-06,1966,9,6,Pakistan,Balochistan,Dera Bugti,Militant Attack,Paramilitary,Afghan Tribals,19,27,46,Yes,Moderate,"Militant Attack targeting paramilitary in Dera Bugti, Balochistan."
PAK-00060,1967-01-10,1967,1,10,Pakistan,Sindh,Larkana,Ambush,Judges/Lawyers,Communist Insurgents,3,7,10,Yes,None,"Ambush targeting judges/lawyers in Larkana, Sindh."
PAK-00061,1967-01-11,1967,1,11,Pakistan,Sindh,Hyderabad,IED,Police,Indian Forces,8,6,14,Yes,Minor,"IED targeting police in Hyderabad, Sindh."
PAK-00062,1967-07-08,1967,7,8,Pakistan,Azad Kashmir,Bagh,Armed Assault,Mosque/Shrine,Sectarian Groups,23,32,55,Yes,Unknown,"Armed Assault targeting mosque/shrine in Bagh, Azad Kashmir."
PAK-00063,1968-07-11,1968,7,11,Pakistan,Azad Kashmir,Rawalakot,Armed Assault,Military/Security Forces,Communist Insurgents,19,43,62,Yes,Minor,"Armed Assault targeting military/security forces in Rawalakot, Azad Kashmir."
PAK-00064,1969-06-27,1969,6,27,Pakistan,Balochistan,Gwadar,Armed Assault,Hospital,Unknown,4,1,5,Yes,Moderate,"Armed Assault targeting hospital in Gwadar, Balochistan."
PAK-00065,1970-07-05,1970,7,5,Pakistan,Balochistan,Mastung,Bombing,Judges/Lawyers,Sectarian Groups,4,13,17,Yes,Major,"Bombing targeting judges/lawyers in Mastung, Balochistan."
PAK-00068,1971-06-24,1971,6,24,Pakistan,Khyber Pakhtunkhwa,Bannu,Kidnapping,Paramilitary,Pashtun Nationalists,1,4,5,Yes,Unknown,"Kidnapping targeting paramilitary in Bannu, Khyber Pakhtunkhwa."
PAK-00070,1971-07-27,1971,7,27,Pakistan,Khyber Pakhtunkhwa,Nowshera,Drone Strike,Military/Security Forces,Baloch Separatists,10,14,24,Yes,Moderate,"Drone Strike targeting military/security forces in Nowshera, Khyber Pakhtunkhwa."
PAK-00069,1971-07-28,1971,7,28,Pakistan,Sindh,Mirpur Khas,Bombing,Mosque/Shrine,Baloch Separatists,8,23,31,Yes,Minor,"Bombing targeting mosque/shrine in Mirpur Khas, Sindh."
PAK-00066,1971-10-31,1971,10,31,Pakistan,Khyber Pakhtunkhwa,Swat,Ambush,Paramilitary,Sectarian Groups,14,46,60,Yes,Minor,"Ambush targeting paramilitary in Swat, Khyber Pakhtunkhwa."
PAK-00067,1971-12-09,1971,12,9,Pakistan,Punjab,Gujranwala,Drone Strike,Market/Bazaar,Sectarian Groups,19,39,58,Yes,None,"Drone Strike targeting market/bazaar in Gujranwala, Punjab."
PAK-00075,1972-04-04,1972,4,4,Pakistan,Balochistan,Quetta,Rocket Attack,Paramilitary,Sectarian Groups,7,10,17,No,Moderate,"Rocket Attack targeting paramilitary in Quetta, Balochistan."
PAK-00073,1972-07-03,1972,7,3,Pakistan,Khyber Pakhtunkhwa,Kohat,Rocket Attack,Civilians,Pashtun Nationalists,4,7,11,Yes,None,"Rocket Attack targeting civilians in Kohat, Khyber Pakhtunkhwa."
PAK-00077,1972-08-01,1972,8,1,Pakistan,Punjab,Gujranwala,IED,Market/Bazaar,Baloch Separatists,18,48,66,Yes,Unknown,"IED targeting market/bazaar in Gujranwala, Punjab."
PAK-00078,1972-08-07,1972,8,7,Pakistan,Punjab,Jhang,Drone Strike,Ethnic Group,Bengali Nationalists,28,75,103,Yes,Unknown,"Drone Strike targeting ethnic group in Jhang, Punjab."
PAK-00076,1972-11-18,1972,11,18,Pakistan,Khyber Pakhtunkhwa,Mardan,IED,Journalists,Sectarian Groups,3,9,12,Yes,Minor,"IED targeting journalists in Mardan, Khyber Pakhtunkhwa."
PAK-00072,1972-12-19,1972,12,19,Pakistan,Sindh,Hyderabad,Armed Assault,Mosque/Shrine,Bengali Nationalists,4,17,21,Yes,Minor,"Armed Assault targeting mosque/shrine in Hyderabad, Sindh."
PAK-00074,1972-12-23,1972,12,23,Pakistan,FATA/Tribal Areas,North Waziristan,Ambush,Police,Baloch Separatists,18,18,36,No,Major,"Ambush targeting police in North Waziristan, FATA/Tribal Areas."
PAK-00071,1972-12-25,1972,12,25,Pakistan,Khyber Pakhtunkhwa,Charsadda,Grenade Attack,Judges/Lawyers,Unknown,5,11,16,Yes,Moderate,"Grenade Attack targeting judges/lawyers in Charsadda, Khyber Pakhtunkhwa."
PAK-00079,1973-03-22,1973,3,22,Pakistan,FATA/Tribal Areas,Kurram,Armed Assault,Mosque/Shrine,Pashtun Nationalists,9,5,14,Yes,Unknown,"Armed Assault targeting mosque/shrine in Kurram, FATA/Tribal Areas."
PAK-00080,1973-05-30,1973,5,30,Pakistan,Balochistan,Khuzdar,Bombing,Judges/Lawyers,Sectarian Groups,23,60,83,Yes,Moderate,"Bombing targeting judges/lawyers in Khuzdar, Balochistan."
PAK-00081,1973-11-17,1973,11,17,Pakistan,Sindh,Nawabshah,Drone Strike,Government Officials,Pashtun Nationalists,30,33,63,Yes,Minor,"Drone Strike targeting government officials in Nawabshah, Sindh."
PAK-00085,1974-01-11,1974,1,11,Pakistan,Sindh,Karachi,IED,Market/Bazaar,Unknown,19,60,79,No,Moderate,"IED targeting market/bazaar in Karachi, Sindh."
PAK-00088,1974-01-19,1974,1,19,Pakistan,Sindh,Larkana,Military Operation,Hospital,Sectarian Groups,55,140,195,Yes,Moderate,"Military Operation targeting hospital in Larkana, Sindh."
PAK-00082,1974-01-31,1974,1,31,Pakistan,Balochistan,Dera Bugti,Militant Attack,Religious Minority,Bengali Nationalists,11,4,15,Yes,Moderate,"Militant Attack targeting religious minority in Dera Bugti, Balochistan."
PAK-00086,1974-05-23,1974,5,23,Pakistan,FATA/Tribal Areas,South Waziristan,Kidnapping,Paramilitary,Unknown,2,7,9,Yes,Unknown,"Kidnapping targeting paramilitary in South Waziristan, FATA/Tribal Areas."
PAK-00083,1974-06-05,1974,6,5,Pakistan,FATA/Tribal Areas,Kurram,Rocket Attack,Ethnic Group,Baloch Separatists,7,22,29,Yes,Moderate,"Rocket Attack targeting ethnic group in Kurram, FATA/Tribal Areas."
PAK-00087,1974-06-14,1974,6,14,Pakistan,Khyber Pakhtunkhwa,Nowshera,IED,Paramilitary,Bengali Nationalists,14,21,35,Yes,Minor,"IED targeting paramilitary in Nowshera, Khyber Pakhtunkhwa."
PAK-00084,1974-08-10,1974,8,10,Pakistan,FATA/Tribal Areas,Khyber,Military Operation,Ethnic Group,Baloch Separatists,41,10,51,Yes,Unknown,"Military Operation targeting ethnic group in Khyber, FATA/Tribal Areas."
PAK-00089,1974-08-25,1974,8,25,Pakistan,Sindh,Sukkur,Armed Assault,Journalists,Unknown,1,8,9,Yes,Minor,"Armed Assault targeting journalists in Sukkur, Sindh."
PAK-00090,1974-10-09,1974,10,9,Pakistan,FATA/Tribal Areas,Bajaur,Military Operation,Ethnic Group,Baloch Separatists,16,17,33,Yes,Moderate,"Military Operation targeting ethnic group in Bajaur, FATA/Tribal Areas."
PAK-00091,1975-01-08,1975,1,8,Pakistan,Khyber Pakhtunkhwa,Mardan,Bombing,Market/Bazaar,Pashtun Nationalists,10,35,45,Yes,None,"Bombing targeting market/bazaar in Mardan, Khyber Pakhtunkhwa."
PAK-00100,1975-02-05,1975,2,5,Pakistan,FATA/Tribal Areas,Mohmand,Mortar Attack,Paramilitary,Unknown,0,4,4,Yes,Moderate,"Mortar Attack targeting paramilitary in Mohmand, FATA/Tribal Areas."
PAK-00092,1975-05-30,1975,5,30,Pakistan,Punjab,Rawalpindi,Drone Strike,Civilians,Pashtun Nationalists,16,45,61,Yes,Moderate,"Drone Strike targeting civilians in Rawalpindi, Punjab."
PAK-00093,1975-07-16,1975,7,16,Pakistan,Khyber Pakhtunkhwa,Nowshera,Military Operation,Market/Bazaar,Sectarian Groups,38,18,56,Yes,Unknown,"Military Operation targeting market/bazaar in Nowshera, Khyber Pakhtunkhwa."
PAK-00098,1975-08-22,1975,8,22,Pakistan,FATA/Tribal Areas,Khyber,Mortar Attack,Civilians,Sectarian Groups,1,8,9,Yes,Minor,"Mortar Attack targeting civilians in Khyber, FATA/Tribal Areas."
PAK-00095,1975-09-05,1975,9,5,Pakistan,Sindh,Nawabshah,Rocket Attack,Paramilitary,Pashtun Nationalists,7,17,24,Yes,Unknown,"Rocket Attack targeting paramilitary in Nawabshah, Sindh."
PAK-00097,1975-09-11,1975,9,11,Pakistan,Balochistan,Mastung,Military Operation,Journalists,Sectarian Groups,45,38,83,No,Minor,"Military Operation targeting journalists in Mastung, Balochistan."
PAK-00094,1975-09-17,1975,9,17,Pakistan,FATA/Tribal Areas,Kurram,Assassination,Government Officials,Bengali Nationalists,4,10,14,Yes,None,"Assassination targeting government officials in Kurram, FATA/Tribal Areas."
PAK-00096,1975-10-20,1975,10,20,Pakistan,FATA/Tribal Areas,Mohmand,Drone Strike,Infrastructure,Pashtun Nationalists,23,30,53,Yes,Major,"Drone Strike targeting infrastructure in Mohmand, FATA/Tribal Areas."
PAK-00099,1975-11-29,1975,11,29,Pakistan,Khyber Pakhtunkhwa,Swat,IED,Paramilitary,Bengali Nationalists,11,25,36,Yes,Moderate,"IED targeting paramilitary in Swat, Khyber Pakhtunkhwa."
PAK-00102,1976-05-05,1976,5,5,Pakistan,Sindh,Karachi,Rocket Attack,Foreign Nationals,Bengali Nationalists,6,4,10,Yes,Unknown,"Rocket Attack targeting foreign nationals in Karachi, Sindh."
PAK-00104,1976-05-27,1976,5,27,Pakistan,Punjab,Sargodha,Ambush,Ethnic Group,Bengali Nationalists,1,7,8,Yes,Minor,"Ambush targeting ethnic group in Sargodha, Punjab."
PAK-00106,1976-05-31,1976,5,31,Pakistan,Khyber Pakhtunkhwa,Mardan,Militant Attack,Journalists,Unknown,24,73,97,No,Moderate,"Militant Attack targeting journalists in Mardan, Khyber Pakhtunkhwa."
PAK-00101,1976-06-02,1976,6,2,Pakistan,Balochistan,Pishin,Armed Assault,Civilians,Sectarian Groups,6,22,28,No,None,"Armed Assault targeting civilians in Pishin, Balochistan."
PAK-00105,1976-06-03,1976,6,3,Pakistan,Balochistan,Loralai,Grenade Attack,Hospital,Sectarian Groups,4,14,18,Yes,Major,"Grenade Attack targeting hospital in Loralai, Balochistan."
PAK-00103,1976-09-11,1976,9,11,Pakistan,Punjab,Faisalabad,Kidnapping,Government Officials,Unknown,1,3,4,No,Minor,"Kidnapping targeting government officials in Faisalabad, Punjab."
PAK-00109,1977-03-09,1977,3,9,Pakistan,Balochistan,Quetta,Rocket Attack,Ethnic Group,Baloch Separatists,9,23,32,Yes,Moderate,"Rocket Attack targeting ethnic group in Quetta, Balochistan."
PAK-00107,1977-05-27,1977,5,27,Pakistan,Khyber Pakhtunkhwa,Kohat,Bombing,Police,Unknown,24,63,87,Yes,Minor,"Bombing targeting police in Kohat, Khyber Pakhtunkhwa."
PAK-00108,1977-12-14,1977,12,14,Pakistan,FATA/Tribal Areas,Orakzai,Grenade Attack,Market/Bazaar,Pashtun Nationalists,9,16,25,Yes,Minor,"Grenade Attack targeting market/bazaar in Orakzai, FATA/Tribal Areas."
PAK-00113,1978-01-13,1978,1,13,Pakistan,Sindh,Mirpur Khas,Ethnic Violence,Foreign Nationals,Baloch Separatists,15,30,45,Yes,Unknown,"Ethnic Violence targeting foreign nationals in Mirpur Khas, Sindh."
PAK-00114,1978-03-01,1978,3,1,Pakistan,Sindh,Mirpur Khas,Militant Attack,Government Officials,Sectarian Groups,21,52,73,Yes,None,"Militant Attack targeting government officials in Mirpur Khas, Sindh."
PAK-00111,1978-03-14,1978,3,14,Pakistan,Sindh,Larkana,Rocket Attack,Infrastructure,Baloch Separatists,7,2,9,Yes,Minor,"Rocket Attack targeting infrastructure in Larkana, Sindh."
PAK-00116,1978-05-24,1978,5,24,Pakistan,Khyber Pakhtunkhwa,Dir,Assassination,Judges/Lawyers,Baloch Separatists,4,13,17,Yes,Moderate,"Assassination targeting judges/lawyers in Dir, Khyber Pakhtunkhwa."
PAK-00115,1978-07-18,1978,7,18,Pakistan,Sindh,Larkana,Armed Assault,Civilians,Pashtun Nationalists,18,8,26,Yes,Unknown,"Armed Assault targeting civilians in Larkana, Sindh."
PAK-00110,1978-09-14,1978,9,14,Pakistan,Khyber Pakhtunkhwa,Swat,Sectarian Violence,Religious Minority,Unknown,25,67,92,No,Minor,"Sectarian Violence targeting religious minority in Swat, Khyber Pakhtunkhwa."
PAK-00112,1978-10-02,1978,10,2,Pakistan,Khyber Pakhtunkhwa,Charsadda,Grenade Attack,Government Officials,Sectarian Groups,0,2,2,Yes,Moderate,"Grenade Attack targeting government officials in Charsadda, Khyber Pakhtunkhwa."
PAK-00117,1978-10-06,1978,10,6,Pakistan,Punjab,Sargodha,Drone Strike,Market/Bazaar,Bengali Nationalists,4,11,15,No,Moderate,"Drone Strike targeting market/bazaar in Sargodha, Punjab."
PAK-00118,1979-04-19,1979,4,19,Pakistan,Khyber Pakhtunkhwa,Kohat,Sectarian Violence,Civilians,Sectarian Groups,7,21,28,Yes,Unknown,"Sectarian Violence targeting civilians in Kohat, Khyber Pakhtunkhwa."
PAK-00120,1979-10-04,1979,10,4,Pakistan,Punjab,Sialkot,Assassination,Military/Security Forces,Bengali Nationalists,2,2,4,Yes,Minor,"Assassination targeting military/security forces in Sialkot, Punjab."
PAK-00119,1979-10-11,1979,10,11,Pakistan,Balochistan,Quetta,Mortar Attack,Market/Bazaar,Pashtun Nationalists,3,1,4,Yes,Minor,"Mortar Attack targeting market/bazaar in Quetta, Balochistan."
PAK-00121,1980-01-09,1980,1,9,Pakistan,Balochistan,Khuzdar,Bombing,Foreign Nationals,Soviet-backed Groups,19,20,39,Yes,None,"Bombing targeting foreign nationals in Khuzdar, Balochistan."
PAK-00124,1980-02-07,1980,2,7,Pakistan,Khyber Pakhtunkhwa,Mingora,Political Violence,Civilians,MQM,12,28,40,No,Moderate,"Political Violence targeting civilians in Mingora, Khyber Pakhtunkhwa."
PAK-00122,1980-07-04,1980,7,4,Pakistan,Punjab,Jhang,Armed Assault,Government Officials,MQM,15,49,64,Yes,None,"Armed Assault targeting government officials in Jhang, Punjab."
PAK-00125,1980-07-14,1980,7,14,Pakistan,FATA/Tribal Areas,North Waziristan,IED,Religious Minority,Sectarian Groups,20,41,61,No,Unknown,"IED targeting religious minority in North Waziristan, FATA/Tribal Areas."
PAK-00123,1980-11-25,1980,11,25,Pakistan,Khyber Pakhtunkhwa,Charsadda,Militant Attack,Police,Unknown,21,58,79,No,None,"Militant Attack targeting police in Charsadda, Khyber Pakhtunkhwa."
PAK-00126,1980-11-29,1980,11,29,Pakistan,Sindh,Larkana,Political Violence,Civilians,Afghan Mujahideen (Splinter),14,41,55,No,Unknown,"Political Violence targeting civilians in Larkana, Sindh."
PAK-00128,1981-02-16,1981,2,16,Pakistan,Khyber Pakhtunkhwa,Bannu,Ambush,Foreign Nationals,Soviet-backed Groups,16,4,20,Yes,None,"Ambush targeting foreign nationals in Bannu, Khyber Pakhtunkhwa."
PAK-00133,1981-03-15,1981,3,15,Pakistan,Sindh,Nawabshah,Rocket Attack,Infrastructure,Sectarian Groups,0,1,1,Yes,Major,"Rocket Attack targeting infrastructure in Nawabshah, Sindh."
PAK-00130,1981-06-30,1981,6,30,Pakistan,Khyber Pakhtunkhwa,Bannu,Political Violence,Police,Sectarian Groups,10,19,29,Yes,Unknown,"Political Violence targeting police in Bannu, Khyber Pakhtunkhwa."
