new_id,source,date,year,month,day,country,region,city,attack_type,target_type,perpetrator_group,killed,wounded,total_casualties,attack_success,property_damage,notes
INC-00069,PAK,10/31/1971,1971,10,31,Pakistan,Khyber Pakhtunkhwa,Swat,Ambush,Paramilitary,Sectarian Groups,14,46,60,Yes,Minor,"Ambush targeting paramilitary in Swat, Khyber Pakhtunkhwa."
INC-00070,PAK,12/9/1971,1971,12,9,Pakistan,Punjab,Gujranwala,Drone Strike,Market/Bazaar,Sectarian Groups,19,39,58,Yes,,"Drone Strike targeting market/bazaar in Gujranwala, Punjab."
INC-00071,PAK,4/4/1972,1972,4,4,Pakistan,Balochistan,Quetta,Rocket Attack,Paramilitary,Sectarian Groups,7,10,17,No,Moderate,"Rocket Attack targeting paramilitary in Quetta, Balochistan."
INC-00072,PAK,7/3/1972,1972,7,3,Pakistan,Khyber Pakhtunkhwa,Kohat,Rocket Attack,Civilians,Pashtun Nationalists,4,7,11,Yes,,"Rocket Attack targeting civilians in Kohat, Khyber Pakhtunkhwa."
INC-00073,PAK,8/1/1972,1972,8,1,Pakistan,Punjab,Gujranwala,IED,Market/Bazaar,Baloch Separatists,18,48,66,Yes,Unknown,"IED targeting market/bazaar in Gujranwala, Punjab."
INC-00074,PAK,8/7/1972,1972,8,7,Pakistan,Punjab,Jhang,Drone Strike,Ethnic Group,Bengali Nationalists,28,75,103,Yes,Unknown,"Drone Strike targeting ethnic group in Jhang, Punjab."
INC-00075,PAK,11/18/1972,1972,11,18,Pakistan,Khyber Pakhtunkhwa,Mardan,IED,Journalists,Sectarian Groups,3,9,12,Yes,Minor,"IED targeting journalists in Mardan, Khyber Pakhtunkhwa."
INC-00076,PAK,12/19/1972,1972,12,19,Pakistan,Sindh,Hyderabad,Armed Assault,Mosque/Shrine,Bengali Nationalists,4,17,21,Yes,Minor,"Armed Assault targeting mosque/shrine in Hyderabad, Sindh."
INC-00077,PAK,12/23/1972,1972,12,23,Pakistan,FATA/Tribal Areas,North Waziristan,Ambush,Police,Baloch Separatists,18,18,36,No,Major,"Ambush targeting police in North Waziristan, FATA/Tribal Areas."
INC-00078,PAK,12/25/1972,1972,12,25,Pakistan,Khyber Pakhtunkhwa,Charsadda,Grenade Attack,Judges/Lawyers,Unknown,5,11,16,Yes,Moderate,"Grenade Attack targeting judges/lawyers in Charsadda, Khyber Pakhtunkhwa."
INC-00079,PAK,3/22/1973,1973,3,22,Pakistan,FATA/Tribal Areas,Kurram,Armed Assault,Mosque/Shrine,Pashtun Nationalists,9,5,14,Yes,Unknown,"Armed Assault targeting mosque/shrine in Kurram, FATA/Tribal Areas."
INC-00080,PAK,5/30/1973,1973,5,30,Pakistan,Balochistan,Khuzdar,Bombing,Judges/Lawyers,Sectarian Groups,23,60,83,Yes,Moderate,"Bombing targeting judges/lawyers in Khuzdar, Balochistan."
INC-00081,PAK,11/17/1973,1973,11,17,Pakistan,Sindh,Nawabshah,Drone Strike,Government Officials,Pashtun Nationalists,30,33,63,Yes,Minor,"Drone Strike targeting government officials in Nawabshah, Sindh."
INC-00082,PAK,1/11/1974,1974,1,11,Pakistan,Sindh,Karachi,IED,Market/Bazaar,Unknown,19,60,79,No,Moderate,"IED targeting market/bazaar in Karachi, Sindh."
INC-00083,PAK,1/19/1974,1974,1,19,Pakistan,Sindh,Larkana,Military Operation,Hospital,Sectarian Groups,55,140,195,Yes,Moderate,"Military Operation targeting hospital in Larkana, Sindh."
INC-00084,PAK,1/31/1974,1974,1,31,Pakistan,Balochistan,Dera Bugti,Militant Attack,Religious Minority,Bengali Nationalists,11,4,15,Yes,Moderate,"Militant Attack targeting religious minority in Dera Bugti, Balochistan."
INC-00085,PAK,5/23/1974,1974,5,23,Pakistan,FATA/Tribal Areas,South Waziristan,Kidnapping,Paramilitary,Unknown,2,7,9,Yes,Unknown,"Kidnapping targeting paramilitary in South Waziristan, FATA/Tribal Areas."
INC-00086,PAK,6/5/1974,1974,6,5,Pakistan,FATA/Tribal Areas,Kurram,Rocket Attack,Ethnic Group,Baloch Separatists,7,22,29,Yes,Moderate,"Rocket Attack targeting ethnic group in Kurram, FATA/Tribal Areas."
INC-00087,PAK,6/14/1974,1974,6,14,Pakistan,Khyber Pakhtunkhwa,Nowshera,IED,Paramilitary,Bengali Nationalists,14,21,35,Yes,Minor,"IED targeting paramilitary in Nowshera, Khyber Pakhtunkhwa."
INC-00088,PAK,8/10/1974,1974,8,10,Pakistan,FATA/Tribal Areas,Khyber,Military Operation,Ethnic Group,Baloch Separatists,41,10,51,Yes,Unknown,"Military Operation targeting ethnic group in Khyber, FATA/Tribal Areas."
INC-00089,PAK,8/25/1974,1974,8,25,Pakistan,Sindh,Sukkur,Armed Assault,Journalists,Unknown,1,8,9,Yes,Minor,"Armed Assault targeting journalists in Sukkur, Sindh."
INC-00090,PAK,10/9/1974,1974,10,9,Pakistan,FATA/Tribal Areas,Bajaur,Military Operation,Ethnic Group,Baloch Separatists,16,17,33,Yes,Moderate,"Military Operation targeting ethnic group in Bajaur, FATA/Tribal Areas."
INC-00091,PAK,1/8/1975,1975,1,8,Pakistan,Khyber Pakhtunkhwa,Mardan,Bombing,Market/Bazaar,Pashtun Nationalists,10,35,45,Yes,,"Bombing targeting market/bazaar in Mardan, Khyber Pakhtunkhwa."
INC-00092,PAK,2/5/1975,1975,2,5,Pakistan,FATA/Tribal Areas,Mohmand,Mortar Attack,Paramilitary,Unknown,0,4,4,Yes,Moderate,"Mortar Attack targeting paramilitary in Mohmand, FATA/Tribal Areas."
INC-00093,PAK,5/30/1975,1975,5,30,Pakistan,Punjab,Rawalpindi,Drone Strike,Civilians,Pashtun Nationalists,16,45,61,Yes,Moderate,"Drone Strike targeting civilians in Rawalpindi, Punjab."
INC-00094,PAK,7/16/1975,1975,7,16,Pakistan,Khyber Pakhtunkhwa,Nowshera,Military Operation,Market/Bazaar,Sectarian Groups,38,18,56,Yes,Unknown,"Military Operation targeting market/bazaar in Nowshera, Khyber Pakhtunkhwa."
INC-00095,PAK,8/22/1975,1975,8,22,Pakistan,FATA/Tribal Areas,Khyber,Mortar Attack,Civilians,Sectarian Groups,1,8,9,Yes,Minor,"Mortar Attack targeting civilians in Khyber, FATA/Tribal Areas."
INC-00096,PAK,9/5/1975,1975,9,5,Pakistan,Sindh,Nawabshah,Rocket Attack,Paramilitary,Pashtun Nationalists,7,17,24,Yes,Unknown,"Rocket Attack targeting paramilitary in Nawabshah, Sindh."
INC-00097,PAK,9/11/1975,1975,9,11,Pakistan,Balochistan,Mastung,Military Operation,Journalists,Sectarian Groups,45,38,83,No,Minor,"Military Operation targeting journalists in Mastung, Balochistan."
INC-00098,PAK,9/17/1975,1975,9,17,Pakistan,FATA/Tribal Areas,Kurram,Assassination,Government Officials,Bengali Nationalists,4,10,14,Yes,,"Assassination targeting government officials in Kurram, FATA/Tribal Areas."
INC-00099,PAK,10/20/1975,1975,10,20,Pakistan,FATA/Tribal Areas,Mohmand,Drone Strike,Infrastructure,Pashtun Nationalists,23,30,53,Yes,Major,"Drone Strike targeting infrastructure in Mohmand, FATA/Tribal Areas."
INC-00100,PAK,11/29/1975,1975,11,29,Pakistan,Khyber Pakhtunkhwa,Swat,IED,Paramilitary,Bengali Nationalists,11,25,36,Yes,Moderate,"IED targeting paramilitary in Swat, Khyber Pakhtunkhwa."
INC-00101,PAK,5/5/1976,1976,5,5,Pakistan,Sindh,Karachi,Rocket Attack,Foreign Nationals,Bengali Nationalists,6,4,10,Yes,Unknown,"Rocket Attack targeting foreign nationals in Karachi, Sindh."
INC-00102,PAK,5/27/1976,1976,5,27,Pakistan,Punjab,Sargodha,Ambush,Ethnic Group,Bengali Nationalists,1,7,8,Yes,Minor,"Ambush targeting ethnic group in Sargodha, Punjab."
INC-00103,PAK,5/31/1976,1976,5,31,Pakistan,Khyber Pakhtunkhwa,Mardan,Militant Attack,Journalists,Unknown,24,73,97,No,Moderate,"Militant Attack targeting journalists in Mardan, Khyber Pakhtunkhwa."
INC-00104,PAK,6/2/1976,1976,6,2,Pakistan,Balochistan,Pishin,Armed Assault,Civilians,Sectarian Groups,6,22,28,No,,"Armed Assault targeting civilians in Pishin, Balochistan."
INC-00105,PAK,6/3/1976,1976,6,3,Pakistan,Balochistan,Loralai,Grenade Attack,Hospital,Sectarian Groups,4,14,18,Yes,Major,"Grenade Attack targeting hospital in Loralai, Balochistan."
INC-00106,PAK,9/11/1976,1976,9,11,Pakistan,Punjab,Faisalabad,Kidnapping,Government Officials,Unknown,1,3,4,No,Minor,"Kidnapping targeting government officials in Faisalabad, Punjab."
INC-00107,PAK,3/9/1977,1977,3,9,Pakistan,Balochistan,Quetta,Rocket Attack,Ethnic Group,Baloch Separatists,9,23,32,Yes,Moderate,"Rocket Attack targeting ethnic group in Quetta, Balochistan."
INC-00108,PAK,5/27/1977,1977,5,27,Pakistan,Khyber Pakhtunkhwa,Kohat,Bombing,Police,Unknown,24,63,87,Yes,Minor,"Bombing targeting police in Kohat, Khyber Pakhtunkhwa."
INC-00109,PAK,12/14/1977,1977,12,14,Pakistan,FATA/Tribal Areas,Orakzai,Grenade Attack,Market/Bazaar,Pashtun Nationalists,9,16,25,Yes,Minor,"Grenade Attack targeting market/bazaar in Orakzai, FATA/Tribal Areas."
INC-00110,PAK,1/13/1978,1978,1,13,Pakistan,Sindh,Mirpur Khas,Ethnic Violence,Foreign Nationals,Baloch Separatists,15,30,45,Yes,Unknown,"Ethnic Violence targeting foreign nationals in Mirpur Khas, Sindh."
INC-00111,PAK,3/1/1978,1978,3,1,Pakistan,Sindh,Mirpur Khas,Militant Attack,Government Officials,Sectarian Groups,21,52,73,Yes,,"Militant Attack targeting government officials in Mirpur Khas, Sindh."
INC-00112,PAK,3/14/1978,1978,3,14,Pakistan,Sindh,Larkana,Rocket Attack,Infrastructure,Baloch Separatists,7,2,9,Yes,Minor,"Rocket Attack targeting infrastructure in Larkana, Sindh."
INC-00113,PAK,5/24/1978,1978,5,24,Pakistan,Khyber Pakhtunkhwa,Dir,Assassination,Judges/Lawyers,Baloch Separatists,4,13,17,Yes,Moderate,"Assassination targeting judges/lawyers in Dir, Khyber Pakhtunkhwa."
INC-00114,PAK,7/18/1978,1978,7,18,Pakistan,Sindh,Larkana,Armed Assault,Civilians,Pashtun Nationalists,18,8,26,Yes,Unknown,"Armed Assault targeting civilians in Larkana, Sindh."
INC-00115,PAK,9/14/1978,1978,9,14,Pakistan,Khyber Pakhtunkhwa,Swat,Sectarian Violence,Religious Minority,Unknown,25,67,92,No,Minor,"Sectarian Violence targeting religious minority in Swat, Khyber Pakhtunkhwa."
INC-00116,PAK,10/2/1978,1978,10,2,Pakistan,Khyber Pakhtunkhwa,Charsadda,Grenade Attack,Government Officials,Sectarian Groups,0,2,2,Yes,Moderate,"Grenade Attack targeting government officials in Charsadda, Khyber Pakhtunkhwa."
INC-00117,PAK,10/6/1978,1978,10,6,Pakistan,Punjab,Sargodha,Drone Strike,Market/Bazaar,Bengali Nationalists,4,11,15,No,Moderate,"Drone Strike targeting market/bazaar in Sargodha, Punjab."
INC-00118,PAK,4/19/1979,1979,4,19,Pakistan,Khyber Pakhtunkhwa,Kohat,Sectarian Violence,Civilians,Sectarian Groups,7,21,28,Yes,Unknown,"Sectarian Violence targeting civilians in Kohat, Khyber Pakhtunkhwa."
INC-00119,PAK,10/4/1979,1979,10,4,Pakistan,Punjab,Sialkot,Assassination,Military/Security Forces,Bengali Nationalists,2,2,4,Yes,Minor,"Assassination targeting military/security forces in Sialkot, Punjab."
INC-00120,PAK,10/11/1979,1979,10,11,Pakistan,Balochistan,Quetta,Mortar Attack,Market/Bazaar,Pashtun Nationalists,3,1,4,Yes,Minor,"Mortar Attack targeting market/bazaar in Quetta, Balochistan."
INC-00121,PAK,1/9/1980,1980,1,9,Pakistan,Balochistan,Khuzdar,Bombing,Foreign Nationals,Soviet-backed Groups,19,20,39,Yes,,"Bombing targeting foreign nationals in Khuzdar, Balochistan."
INC-00122,PAK,2/7/1980,1980,2,7,Pakistan,Khyber Pakhtunkhwa,Mingora,Political Violence,Civilians,MQM,12,28,40,No,Moderate,"Political Violence targeting civilians in Mingora, Khyber Pakhtunkhwa."
INC-00123,PAK,7/4/1980,1980,7,4,Pakistan,Punjab,Jhang,Armed Assault,Government Officials,MQM,15,49,64,Yes,,"Armed Assault targeting government officials in Jhang, Punjab."
INC-00124,PAK,7/14/1980,1980,7,14,Pakistan,FATA/Tribal Areas,North Waziristan,IED,Religious Minority,Sectarian Groups,20,41,61,No,Unknown,"IED targeting religious minority in North Waziristan, FATA/Tribal Areas."
INC-00125,PAK,11/25/1980,1980,11,25,Pakistan,Khyber Pakhtunkhwa,Charsadda,Militant Attack,Police,Unknown,21,58,79,No,,"Militant Attack targeting police in Charsadda, Khyber Pakhtunkhwa."
INC-00126,PAK,11/29/1980,1980,11,29,Pakistan,Sindh,Larkana,Political Violence,Civilians,Afghan Mujahideen (Splinter),14,41,55,No,Unknown,"Political Violence targeting civilians in Larkana, Sindh."
